idPoksi	kodepoksi	idUnit	namapoksi
11	23000	29	Mengendalikan proses dan menentukan strategi pembelian barang maupun pengadaan jasa guna memastikan proses pengadaan barang maupun jasa berjalan secara efektif dan efisien dan sesuai prosedur yang telah ditetapkan, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu
12	32000	30	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan penjaminan dan pengendalian kualitas proses dan produk serta kegiatan pengembangan, pengkajian proses pembuatan produk baja, produk aplikasi baru, material untuk proses pembuatan baja; penanganan terhadap klaim & complain dari pelanggan untuk mendukung operasional dan peningkatan kualitas proses dan produk sesuai rencana tahunan dan rencana jangka panjang perusahaan
13	33000	31	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan peningkatan efektivitas kinerja pabrik dalam rangka meningkatkan produksi pabrik besi spons, billet baja dan slab baja yang berkualitas berdasarkan rencana produksi serta memelihara seluruh peralatan, instalasi  pabrik dan penunjangnya untuk mencapai target-target yang telah ditetapkan 
14	34000	32	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan peningkatan efektivitas kinerja pabrik dalam rangka meningkatkan produksi pabrik baja lembaran panas, pabrik baja lembaran dingin, pabrik batang kawat yang berkualitas berdasarkan rencana produksi serta memelihara seluruh peralatan, instalasi  pabrik dan penunjangnya untuk mencapai target yang telah ditetapkan
15	35000	33	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi perawatan dan energi, kebijakan kesiapan mesin-mesin / peralatan pabrik, pengelolaan catalog dan history harga suku cadang dan jasa perawatan pabrik, merencanakan dan mengadakan jasa perawatan perbengkelan dan pabrik, pengembangan dan rekayasa teknik, menjamin ketersediaan supply energi dalam rangka mendukung kelancaran produksi dan pencapaian target produksi
16	36000	34	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program perencanaan produksi sesuai delivery order dan optimasi kapasitas produksi, pengendalian tingkat persediaan produk jadi pada level yang optimum,  pengelolaan dan optimasi kebutuhan dan penanganan material produksi (bahan baku dan penunjang utama) untuk menunjang kelancaran dan tercapainya target produksi serta supply chain management
17	42000	35	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program penjualan Flat product dan long product untuk area pasar Domestik dan Ekspor dengan segmen pasar strategic account yang mayoritas kebutuhan konsumennya adalah produk HRC/Plate, dan penjualan produk untuk industri Shipbuilding, Train, serta penjualan untuk Project dan pengembangan pasar domestik wilayah Indonesia Timur melalui kantor cabang Surabaya, wilayah Indonesia Barat melalui perwakilan Batam serta penjualan by product untuk tujuan ekspor guna menjamin tercapainya target penjualan dan peningkatan loyalitas  pelanggan serta  memastikan penjualan produk dan utilisasi fasiltas produksi HRC/P mencapai target yang ditetapkan
18	44000	36	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan pengembanagan pasar, penyediaan informasi pasar domestik dan global, mengendalikan kebijakan profitabilitas & manajemen produk, pengelolaan sistem informasi pemasaran dan administrasi penjualan serta peningkatan kualitas penanganan dan pengiriman hasil produksi ke pelanggan untuk meningkatkan kepuasan pelanggan dan peningkatan nilai penjualan produk
19	52000	37	Merencanakan dan mengendalikan kegiatan catatan akuntansi perusahaan meliputi ; akuntansi keuangan, akuntansi manajemen dan akutansi pabrik sebagai bahan informasi/pendukung dalam pengambilan keputusan bagi manajemen, serta usaha-usaha peningkatkan tingkat pengembalian investasi, mempercepat proses pembayaran klaim dalam rangka meningkatkan kepuasan Pelanggan, meningkatkan kecepatan dan ketepatan  Laporan Keuangan dalam rangka  meningkatkan kualitas pelayanan informasi keuangan
20	53000	38	Merencanakan dan mengendalikan keuangan perusahaan dalam hal pengendalian realisasi biaya agar tidak melebihi anggaran, strategi dan operasional pendanaan untuk menjaga  working capital dalam level yang tepat dan aman untuk membiayai operasional Perusahaan, menyediakan dana secara tepat untuk  pembiayaan proyek investasi, perpajakan, asuransi dan bea-bea lainnya serta mengatur dan mengontrol pemberian kredit dan penagihan untuk menjamin ketepatan pembayaran secara optimal  serta mengkoordinasikan  pembayaran gaji, biaya SPD  dan pengelolaan biaya kegiatan Direksi/Dekom/karyawan Jakarta
21	54000	39	Merencanakan dan mengendalikan kegiatan pembinaan bisnis, sistem manajemen, penyelarasan rencana kerja tahunan, evaluasi kinerja keuangan dan operasional anak perusahaan dan perusahaan patungan termasuk laporan konsolidasi KS-Group agar kinerja investasi di anak perusahaan dan perusahaan patungan optimal
22	63000	40	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi serta kebijakan (Policy) dalam bidang pemeliharaan, pembinaan & pengintegrasian modal insani yang dimiliki perusahaan, perancangan kebijakan dan sistem remunerasi karyawan, sistem manajemen berbasis MBNQA, sistem administrasi & informasi kekaryawanan, pengelolaan pengamanan perusahaan, pengaturan kendaraan dinas & angkutan karyawan, pengelolaan fasilitas umum, perencanaan dan pengendalian kebutuhan jasa outsourcing kebersihan dan keamanan untuk memastikan setiap aktivitas berjalan efektif & efisien
23	72000	41	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan (policy) dan program dalam bidang riset/pengkajian proses pembuatan produk baja, produk aplikasi baru, material untuk proses pembuatan baja, penyediaan dan penyiapan sarana dan prasarana riset serta pengkajian dan pemilihan teknologi untuk pengembangan bisnis perusahaan, pengelolaan energi dan pemilihan alternatif energi & sumber daya sesuai rencana tahunan dan rencana jangka panjang perusahaan
24	73000	42	Memikirkan, merumuskan, dan merekomendasikan dan melaksanakan program perencanaan strategis pengembangan bisnis perusahaan jangka panjang,  integrasi rencana kerja dan pengembangan jangka panjang bisnis korporasi (KS Group), pemilihan strategi maupun policy pengembangan bisnis PTKS dan Group, melakukan studi kelayakan proyek pengembangan PTKS yang telah direncanakan dalam RJPP, mengembangan bisnis sinergi dan portofolio investasi korporasi, mengusulkan proyek yang akan dilaksanakan (diimplementasikan) dalam RKAP, dan mengkoordinasikan aktivitas tender proyek pembangunan
25	74000	43	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program pengembangan pabrik Blast Furnace Complex agar tujuan pembangunan pabrik Blast Furnace dapat terlaksana secara tepat waktu, tepat kualitas, biaya yang efisien dan dapat dipertanggungjawabkan sesuai dengan prosedur dan ketentuan yang berlaku
26	43000	44	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk tujuan ekspor dan indirect ekspor, penjualan dan pengembangan pasar wilayah Indonesia Timur melalui Kantor Cabang Surabaya dan Indonesia Barat melalui perwakilan Batam, segmen pasar Project Engineering Procurement Construction (EPC) Non Pipe serta penjualan by product untuk tujuan ekspor guna menjamin tercapainya target penjualan dan loyalitas pelanggan yang telah ditetapkan
27	55000	45	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan (policy) dan program perencanaan dan pengendalian pelayanan Sistem Informasi ( IT Services Planning & Control), Perencanaan Teknologi Otomasi Proses terintegrasi dengan strategi perusahaan dan master plan IT, Peningkatan efisiensi cost performance melalui bisnis proses dan pengelolaan Sistem Manajemen Krakatau Steel, untuk menjamin pelayanan Sistem Informasi Perencanaan Teknologi Otomasi Proses dan Perencanaan Bisnis Proses selaras dengan strategi bisnis perusahaan
28	62000	46	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi serta kebijakan rancangan struktur organisasi, program pengembangan & peningkatan kualitas modal insani, talent management dan pelaksanaan pendidikan & pelatihan sesuai visi dan strategi bisnis korporasi jangka pendek dan jangka panjang
29	12200	48	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program pengembangan, implementasi strategi komunikasi internal dan external perusahaan meliputi promosi dan penyebaran informasi, pengelolaan web site perusahaan, penciptaan berita dan peristiwa yang bernilai positif bagi perusahaan, pro aktif dalam merespon isu-isu kebijakan public yang mempengaruhi bisnis perusahaan, mengkomunikasikan kebijakan Direksi/Perusahaan, melaksanakan kegiatan protokoler meliputi pengaturan acara termasuk penyiapan fasilitas/akomodasi, pengaturan kegiatan rumah tangga Direksi, mengkomunikasikan kebijakan-kebijakan Direksi/Perusahaan dan bertindak sebagai event organizer kepada pihak internal perusahaan, mewakili Perusahaan/Direksi dan/atau mendampingi Direksi pada acra-acra yang diselenggarakan Instansi/Instusi tertentu
30	12400	49	Melaksanakan manajemen dalam implementasi GCG dan pengelolaan manajemen risiko PT KS dan Grup, pelaksanaan sosialisasi, evaluasi, monitoring, laporan GCG&Risk Management serta audit bersama SPI 
31	12500	50	Mengorganisasikan dan mengkoordinasikan pengkajian dan penelitian kontrak-kontrak kerja, surat-surat Keputusan Direksi dan Peraturan Perusahaan dari aspek hukum, mengurus perijinan, bantuan hukum perusahaan serta bertindak sebagai kuasa hukum perusahaan dalam memproteksi maupun menyelesaikan masalah hukum perusahaan serta menyiapkan legal analisis dan memorandum atas permasalahan hukum yang timbul akibat kontrak kerja, permasalahan hukum ketenagakerjaan, hukum pertanahan dan permasalahan-permasalahan hukum lainnya
32	1250101	51	Aku sayang kamu
33	22500	52	Mengorganisasikan dan mengkoordinasikan serta menyelenggarakan kegiatan vendor manajemen yang meliputi registrasi, assessment dan evaluasi vendor, pelaksanaan penerbitan service entry dan Service Acceptance atas pekerjaan jasa non pembangunan; penanganan klaim terhadap vendor atas pembelian barang dan jasa ; pengurus barang impor, akseptasi dan penjadwalan kapal; serta memastikan dan memutahirkan master data vendor, agar pengadaan barang dan jasa non pembangunan berjalan secara efektif dan efesien
34	22400	53	Mengorganisasikan dan mengkoordinasikan kegiatan penerimaan, pemeriksaan, penyimpanan, pemeliharaan, distribusi dan pengendalian stok suku cadang dan non suku cadang, pengelolaan barang limbah, guna menjamin pengelolaan barang di gudang efisien dan efektif
35	22300	54	Mengorganisasikan dan mengkoordinasikan kegiatan perencanaan pembelian bahan baku dan bahan pembantu produksi, material umum lainnya, perencanaan pengadaan seluruh pekerjaan jasa yang ada di perusahaan kecuali pekerjaan jasa perawatan pabrik dan jasa pembangunan, untuk menjamin akurasi dan optimasi perencanaan pengadaan barang maupun jasa
36	22200	55	Mengorganisasikan dan mengkoordinasikan kegiatan evaluasi dan penyusunan Harga Perkiraan Sendiri/Owner Estimate (HPS/OE) untuk pembelian barang dan penyusunan harga satuan pekerjaan jasa untuk perencanaan pengadaan jasa, evaluasi dan penyusunan katalogisasi spesifikasi barang baik suku cadang, bahan baku maupun bahan pembantu produksi dan barang umum lainnya serta evaluasi dan penyusunan Services Master Catalog, memastikan dan memutahirkan data-data tersebut diatas serta kegiatan sourcing dengan baik
37	23400	56	Mengorganisasikan dan mengkoordinasikan kegiatan pengadaan jasa perawatan pabrik, jasa perawatan sipil mupun umum dan jasa non perawatan, serta guna memastikan pelaksanaan pengadaan jasa berjalan optimal, sesuai prosedur, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu
38	23300	57	Mengorganisasikan dan mengkoordinasikan proses pembelian bahan baku, bahan pembantu produksi dan barang atau material  umum lainnya guna menjamin proses pembelian non suku cadang berjalan optimal, sesuai prosedur, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu
39	23200	58	Mengorganisasikan dan mengkoordinasikan proses pembelian suku cadang baik suku cadang mekanik, listrik maupun suku cadang lainnya serta guna menjamin proses pembelian suku cadang berjalan optimal, sesuai prosedur, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu
40	30200	59	Mengorganisasikan dan mengkoordinasikan aktivitas peningkatan kualitas lingkungan industri PT Krakatau Steel, penurunan tingkat terjadinya kecelakaan kerja, penanganan bencana, penanganan pemadam kebakaran dan penelitian dampak lingkungan operasi pabrik, sebagai regulator untuk limbah, serta mengembangkan sistem manajemen mutu lingkungan industri dan lingkungan kerja untuk menjamin seluruh aspek Keselamatan Kerja dan Lingkungan Hidup sesuai standar yang ditetapkan
41	32200	60	Mengorganisasikan dan mengkoordinasikan kegiatan pengelolaan, pemeliharaan,  peningkatan dan pengendalian dokumen   Sistem Manajemen Krakatau Steel secara terpadu, serta pengurusan administrasi HaKI untuk menjamin mutu produk, proses dan kepuasan pelanggan
42	32300	61	Mengorganisasikan dan mengkoordinasikan perbaikan/ improvement proses dan material, inovasi dan development material, peningkatan kualitas rancangan dan riset, pengembangan produk yang bernilai tambah tinggi, penyiapan materi informasi teknis produk PTKS, serta memastikan dan memutahirkan master data semifinished products dan finished product  sebagai wahana promosi menunjang pemasaran produk regular maupun aplikasi baru
43	32400	62	Mengorganisasikan dan mengkoordinasikan kegiatan pengendalian kualitas  proses dan produk jadi sesuai standar, delivery inspection, melakukan pengujian laboratorium mekanik dan kimia, serta memastikan dan memutahirkan master data defect catalogue, selected set untuk menjamin kesesuaian kualitas produksi yang dihasilkan hingga dapat menurunkan jumlah claim teknis dalam meningkatkan kepuasan pelanggan
44	32500	63	Mengorganisasikan dan mengkoordinasikan kegiatan pelayanan technical support produk Krakatau Steel kepada sales dan pelanggan, pelayanan klaim dan komplain terhadap mutu produk dan mutu pelayanan (non teknis) serta merencanakan pelaksanaan kunjungan kepada pelanggan
45	3370101	64	Merencanakan, mengorganisasikan dan memonitor seluruh proses DR Plant dari pengelolaan bahan baku, bahan pembantu, mesi-mesin produksi, peralatan handling dan teknologi proses, serta mengorganisasikan dan merencanakan aktifitas perawatan/perbaikan seluruh peralatan mekanik, listrik, instrument di pabrik Direct Reduction Plant (DR Plant) sesuai target kualitas dan kuantitas yang ditetapkan dengan biaya yang efisien, tepat waktu serta menjaga seluruh fasilitas produksi DR Plant dalam kondidi optimal.
46	33700	65	Mengorganisasikan dan mengkoordinasikan  produksi billet baja meliputi : operasi peleburan, pengolahan, pengecoran, refractory pada Pabrik Billet Baja, meminimasi biaya produksi dengan cara meningkatkan yield, efisiensi pemakaian Listrik, Electroda dan Refractory untuk mencapai target produksi yang telah ditetapkan
47	33600	66	Mengorganisasikan dan mengkoordinasikan aktivitas perawatan, perbaikan dan peningkatkan kesiapan mesin-mesin/peralatan pabrik pada seluruh peralatan mekanik, listrik, instrumen, komputer Pabrik Slab Baja dan Pabrik Billet Baja sesuai kualitas dan sistem manajemen perawatan untuk mendukung pencapaian target produksi
48	33500	67	Mengorganisasikan dan mengkoordinasikan produksi slab baja meliputi : operasi peleburan, secondary process, pengecoran, refractory, meminimasi biaya produksi slab baja dengan cara meningkatkan yield, efisiensi pemakaian Listrik, Electroda dan Refractory untuk mencapai target produksi yang telah ditetapkan
49	34200	68	Mengorganisasikan dan mengkoordinasikan  kegiatan produksi Baja Lembaran Panas yang meliputi : operasi pengerolan, operasi pemotongan baja lembaran, peningkatan Yield Produksi, peningkatan kualitas produk, peningkatan kemampuan pabrik dalam berproduksi, peningkatan kualitas proses produksi guna meningkatkan hasil produksi sesuai order untuk mencapai target produksi yang telah ditetapkan
50	34300	69	Mengorganisasikan dan mengkoordinasikan aktivitas perawatan, perbaikan dan peningkatkan kesiapan mesin-mesin/peralatan pabrik pada seluruh peralatan mekanik, listrik, instrumen, komputer Pabrik Pengerolan Baja Lembaran Panas Dan Batang Kawat sesuai kualitas dan sistem manajemen perawatan untuk mendukung pencapaian target produksi.
51	34500	70	Mengorganisasikan dan mengkoordinasikan aktivitas perawatan, perbaikan dan peningkatkan kesiapan mesin-mesin/peralatan pabrik pada seluruh peralatan mekanik, listrik, instrumen, komputer Pabrik Pengerolan Baja Lembaran Dingin sesuai kualitas dan sistem manajemen perawatan untuk mendukung pencapaian target produksi
52	34600	71	Mengorganisasikan dan mengkoordinasikan  kegiatan produksi Batang Kawat meliputi : peningkatan Yield Produksi, peningkatan kualitas produk Batang Kawat, peningkatan kemampuan pabrik dalam berproduksi, peningkatan kualitas proses produksi guna meningkatkan hasil produksi sesuai order untuk mencapai target produksi yang telah ditetapkan
53	34601	72	Mengorganisasikan dan mengkoordinasikan  kegiatan  produksi Baja Lembaran Dingin meliputi : peningkatan Yield Produksi, peningkatan kualitas produk Baja Lembaran Dingin, peningkatan kemampuan pabrik dalam berproduksi, peningkatan kualitas proses produksi guna meningkatkan hasil produksi sesuai order untuk mencapai target produksi yang telah ditetapkan
54	35500	73	Mengorganisasikan dan mengkoordinasikan aktivitas  perencanaan suku cadang rutin dan common, menyusun catalog dan estimasi harga (HPS/OE) Spare Part dan jasa perawatan, perencanaan jasa perawatan pabrik, menyusun dan mengelola katalog suku cadang dan historical harga suku cadang dan jasa perawatan pabrik serta membuat laporan kinerja perawatan & suku cadang perawatan pabrik untuk menunjang kelancaran operasi seluruh pabrik
55	35400	74	Mengorganisasikan dan mengkoordinasikan aktivitas peningkatan utilisasi bengkel   listrik, elektronik, instrument, sarana dan prasarana pabrik (general service), dengan cara  mempercepat waktu penyelesaian pekerjaaan dan efektifitas pelaksanaan pekerjaan, pengendalian operasional supply Energi Listrik, Air dan Gas dalam rangka mendukung kelancaran produksi, pengelolaan produksi kapur bakar dan gas industri untuk menunjang kelancaran operasi pabrik
56	35300	75	Mengorganisasikan dan mengkoordinasikan aktivitas rekayasa teknik yang meliputi : mengelola dokumen teknik, gambar/design engineering, estimate engineering, scope of work, TOR dan bestek, analisis engineering, modifikasi engineering baik perawatan dan pembangunan rutin serta inspeksi teknik untuk memastikan dan memutahirkan data engineering guna peningkatan kehandalan peralatan pabrik
57	35200	76	Mengorganisasikan dan mengkoordinasikan aktivitas utilisasi bengkel mekanik meliputi : perbaikan peralatan pabrik, pembuatan suku cadang untuk perbaikan, pembuatan suku cadang dan perbaikan yang ditangani pihak luar melalui kontrak jasa serta perawatan lapangan beserta mengelola jasa perawatan lapangan dari pihak luar melalui kontrak berdasarkan permintaan dari unit-unit produksi, untuk menjamin kehandalan dan kelancaran operasi pabrik
58	36200	77	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program serta kegiatan improvement Supply Chain; mengintegrasikan operasional proses bisnis meliputi material, informasi, time frame dan menyusun/mengevaluasi FS (Feasibility Study) serta melakukan evaluasi efektivitas investasi terhadap parameter utama pada sektor pemasaran, logistik dan produksi sebagai bahan evaluasi management serta melakukan usaha peningkatan produktivitas, efisiensi, efektivitas dan optimalisasi dalam kegiatan operasional di setiap lini rantai supply dan memastikan pemutakhiran data product groups, Bill of Material (BOM) dan  Routing agar selalu update dan sesuai dengan kondisi actual
59	36300	78	Mengorganisasikan dan mengkoordinasikan aktivitas perencanaan dan pengendalian Produksi sesuai dengan Delivery Order, utilisasi ready stock ke order serta  penyiapan, prosesing, distribusi & penyimpanan bahan baku dan bahan pembantu utama (Non Spons, Batu Kapur) sesuai dengan kebutuhan produksi pada pabrik besi spons dan baja batangan, pabrik slab baja, pabrik baja lembaran, untuk mencapai target produksi yang ditetapkan dengan pembebanan pabrik secara optimum
60	4330101	79	Optimalisasi volume & revenue penjualan wire rod, by product & jasa non core sesuai target yang ditetapkan
61	43300	80	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk segmen pasar strategic account yang mayoritas kebutuhan konsumennya produk CRC/S (Cold Rolled Coil/Sheet) yang meliputi segmen pasar GIS (Galvalum & galvanized), HOA, HOE, HOF, Enamel, P&T, Drum & packaging serta stockist dan segmen lainnya serta segmen Automotive & Heavy Equipment guna menjamin tercapainya target penjualan dan loyalitas pelanggan yang ditetapkan
62	42300	81	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk segmen pasar yang mayoritas kebutuhannya HRC/P meliputi General Structure, Ship Building, Train, Coil Center dan Stockist
63	42200	82	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk segmen pasar strategic account yang mayoritas kebutuhan konsumennya produk HRC/P (Hot Rolled Coil/ Plate) meliputi : segmen pasar Oil & Gas Pipe (OGP), P&T Commercial, BPV dan Rerolling serta segmen lainnya guna menjamin tercapainya target penjualan dan loyalitas pelanggan yang ditetapkan
64	44200	83	Mengorganisasikan dan mengkoordinasikan penyediaan informasi pasar jangka panjang dan jangka pendek melalui penelitian dan penyelidikan pasar global maupun domestik untuk memastikan dan memutahirkan informasi pasar dan customer master data guna menunjang pencapaian target penjualan dan pemasaran yang telah ditetapkan dan menunjang upaya mempertahankan, mengembangkan dan memperluas pangsa pasa
65	44300	84	Mengorganisasikan dan mengkoordinasikan proses penyusunan rencana pemasaran, analisis profitabilitas dan manajemen produk, analisis pelanggan dan area serta menetapkan space allocation, menyiapkan analisa data serta memastikan dan memutahirkan master data price untuk penetapan harga produk utama dan penetapan harga by product serta jasa non core guna menjamin tercapainya target penjualan dan pemasaran
66	44400	85	Mengorganisasikan dan mengkoordinasikan kegiatan penyiapan Sistem Informasi Pemasaran yang terintegrasi untuk pemutahiran data bisnis transaksional pemasaran dan mengelola sistem dan data informasi pelanggan serta kegiatan pemrosesan dan pengelolaan transaksi administrasi penjualan produk utama guna menjamin tercapainya target penjualan yang telah ditetapkan
67	4440101	86	Menjamin produk yang disimpan digudang tidak mengalami kerusakan dan memastikan status mutu produk melalui pemeriksaan secara periodik 
68	50200	87	Merencanakan dan mengendalikan aktivitas fungsi-fungsi dalam unit Investor Realtion untuk memenuhi kewajiban sebagai perusahaan terbuka melalui kegiatan update informasi kinerja perusahaan, peraturan pasar modal dan industri baja serta informasi lain terkait perkembangan saham perusahaan dalam rangka membangun membangun dan menjaga hubungan yang baik antara perusahaan dengan pihak eksternal perusahaan yang mencakup para analis ekuitas saham dan insvestor, baik investor yang telah menjadi pemegang saham maupun calon investor yang berminat pada saham perusahaan sehingga pada akhirnya dapat memberi nilai tambah pada saham perusahaan dan pergadangan saham tetap likuid
69	52400	88	Mengkoordinasikan dan mengorganisasikan aktivitas catatan akuntansi yang berkaitan dengan aktivitas pabrik, mengendalikan dan mengevaluasi laporan kegiatan akuntansi pabrik yang (meliputi ; akuntansi biaya produksi dan akuntansi persediaan bahan baku, bahan pembantu, suku cadang dan produk/hasil jadi), verifikasi persediaan dan aktiva tetap, memberikan informasi dan analisis keuangan kepada Manajemen terkait dalam melakukan pengendalian biaya serta memastikan dan memutahirkan master data finished/semi finish products data accounting, posting dan general plant data finished products dan posting dan general plant data
70	52300	89	Mengorganisasikan dan mengkoordinasikan perencanaan, pengendalian serta peningkatkan efektivitas penyusunan rencana kerja dan anggaran perusahaan baik jangka pendek (RKAP) maupun mendukung proses perencanaan jangka panjang dan menganalisis serta mengevaluasi data-data keuangan, serta memastikan dan memutahirkan data IM Position, GL Account, Cost Centre, Activity Type, Statistical Key Figure, Business process, Cost Element, Standard Hierarchi Cost Centre, Standard hierarchi ABC, Planning, untuk penyusunan dan penerbitan laporan manajemen dalam rangka meningkatkan kualitas pelayanan informasi keuangan dan manajemen
