idPoksi	kodepoksi	idUnit	namapoksi	idPerusahaan	creator	modifier	tgl_creator	tgl_modifier
18	30200	41	Mengorganisasikan dan mengkoordinasikan aktivitas peningkatan kualitas lingkungan industri PT Krakatau Steel, penurunan tingkat terjadinya kecelakaan kerja, penanganan bencana, penanganan pemadam kebakaran dan penelitian dampak lingkungan operasi pabrik, sebagai regulator untuk limbah, serta mengembangkan sistem manajemen mutu lingkungan industri dan lingkungan kerja untuk menjamin seluruh aspek Keselamatan Kerja dan Lingkungan Hidup sesuai standar yang ditetapkan	KS	1		2013-08-15 03:44:13	
19	32000	12	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan penjaminan dan pengendalian kualitas proses dan produk serta kegiatan pengembangan, pengkajian proses pembuatan produk baja, produk aplikasi baru, material untuk proses pembuatan baja; penanganan terhadap klaim & complain dari pelanggan untuk mendukung operasional dan peningkatan kualitas proses dan produk sesuai rencana tahunan dan rencana jangka panjang perusahaan	KS	1		2013-08-15 03:44:38	
20	32200	42	Mengorganisasikan dan mengkoordinasikan kegiatan pengelolaan, pemeliharaan,  peningkatan dan pengendalian dokumen   Sistem Manajemen Krakatau Steel secara terpadu, serta pengurusan administrasi HaKI untuk menjamin mutu produk, proses dan kepuasan pelanggan	KS	1		2013-08-15 03:45:15	
21	32300	43	Mengorganisasikan dan mengkoordinasikan perbaikan/ improvement proses dan material, inovasi dan development material, peningkatan kualitas rancangan dan riset, pengembangan produk yang bernilai tambah tinggi, penyiapan materi informasi teknis produk PTKS, serta memastikan dan memutahirkan master data semifinished products dan finished product  sebagai wahana promosi menunjang pemasaran produk regular maupun aplikasi baru	KS	1		2013-08-15 03:45:38	
22	32400	44	Mengorganisasikan dan mengkoordinasikan kegiatan pengendalian kualitas  proses dan produk jadi sesuai standar, delivery inspection, melakukan pengujian laboratorium mekanik dan kimia, serta memastikan dan memutahirkan master data defect catalogue, selected set untuk menjamin kesesuaian kualitas produksi yang dihasilkan hingga dapat menurunkan jumlah claim teknis dalam meningkatkan kepuasan pelanggan	KS	1		2013-08-15 03:45:46	
23	32500	45	Mengorganisasikan dan mengkoordinasikan kegiatan pelayanan technical support produk Krakatau Steel kepada sales dan pelanggan, pelayanan klaim dan komplain terhadap mutu produk dan mutu pelayanan (non teknis) serta merencanakan pelaksanaan kunjungan kepada pelanggan	KS	1		2013-08-15 03:46:17	
24	33000	13	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan peningkatan efektivitas kinerja pabrik dalam rangka meningkatkan produksi pabrik besi spons, billet baja dan slab baja yang berkualitas berdasarkan rencana produksi serta memelihara seluruh peralatan, instalasi  pabrik dan penunjangnya untuk mencapai target-target yang telah ditetapkan 	KS	1		2013-08-15 03:46:26	
25	33500	46	Mengorganisasikan dan mengkoordinasikan produksi slab baja meliputi : operasi peleburan, secondary process, pengecoran, refractory, meminimasi biaya produksi slab baja dengan cara meningkatkan yield, efisiensi pemakaian Listrik, Electroda dan Refractory untuk mencapai target produksi yang telah ditetapkan	KS	1	7445A	2013-08-15 03:47:51	2013-10-18 08:19:58
26	33600	47	Mengorganisasikan dan mengkoordinasikan aktivitas perawatan, perbaikan dan peningkatkan kesiapan mesin-mesin/peralatan pabrik pada seluruh peralatan mekanik, listrik, instrumen, komputer Pabrik Slab Baja dan Pabrik Billet Baja sesuai kualitas dan sistem manajemen perawatan untuk mendukung pencapaian target produksi	KS	1		2013-08-15 03:48:21	
27	33700	48	Mengorganisasikan dan mengkoordinasikan  produksi billet baja meliputi : operasi peleburan, pengolahan, pengecoran, refractory pada Pabrik Billet Baja, meminimasi biaya produksi dengan cara meningkatkan yield, efisiensi pemakaian Listrik, Electroda dan Refractory untuk mencapai target produksi yang telah ditetapkan	KS	1		2013-08-15 03:48:46	
28	34000	14	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan peningkatan efektivitas kinerja pabrik dalam rangka meningkatkan produksi pabrik baja lembaran panas, pabrik baja lembaran dingin, pabrik batang kawat yang berkualitas berdasarkan rencana produksi serta memelihara seluruh peralatan, instalasi  pabrik dan penunjangnya untuk mencapai target yang telah ditetapkan	KS	1		2013-08-15 04:13:33	
29	34200	50	Mengorganisasikan dan mengkoordinasikan  kegiatan produksi Baja Lembaran Panas yang meliputi : operasi pengerolan, operasi pemotongan baja lembaran, peningkatan Yield Produksi, peningkatan kualitas produk, peningkatan kemampuan pabrik dalam berproduksi, peningkatan kualitas proses produksi guna meningkatkan hasil produksi sesuai order untuk mencapai target produksi yang telah ditetapkan	KS	1		2013-08-15 05:06:56	
30	34300	51	Mengorganisasikan dan mengkoordinasikan aktivitas perawatan, perbaikan dan peningkatkan kesiapan mesin-mesin/peralatan pabrik pada seluruh peralatan mekanik, listrik, instrumen, komputer Pabrik Pengerolan Baja Lembaran Panas Dan Batang Kawat sesuai kualitas dan sistem manajemen perawatan untuk mendukung pencapaian target produksi.	KS	1		2013-08-15 05:07:22	
31	34500	52	Mengorganisasikan dan mengkoordinasikan aktivitas perawatan, perbaikan dan peningkatkan kesiapan mesin-mesin/peralatan pabrik pada seluruh peralatan mekanik, listrik, instrumen, komputer Pabrik Pengerolan Baja Lembaran Dingin sesuai kualitas dan sistem manajemen perawatan untuk mendukung pencapaian target produksi	KS	1		2013-08-15 06:26:38	
32	34600	53	Mengorganisasikan dan mengkoordinasikan  kegiatan produksi Batang Kawat meliputi : peningkatan Yield Produksi, peningkatan kualitas produk Batang Kawat, peningkatan kemampuan pabrik dalam berproduksi, peningkatan kualitas proses produksi guna meningkatkan hasil produksi sesuai order untuk mencapai target produksi yang telah ditetapkan	KS	1		2013-08-15 06:27:07	
33	34601	54	Mengorganisasikan dan mengkoordinasikan  kegiatan  produksi Baja Lembaran Dingin meliputi : peningkatan Yield Produksi, peningkatan kualitas produk Baja Lembaran Dingin, peningkatan kemampuan pabrik dalam berproduksi, peningkatan kualitas proses produksi guna meningkatkan hasil produksi sesuai order untuk mencapai target produksi yang telah ditetapkan	KS	1	1	2013-08-15 05:08:50	2013-10-11 08:35:47
34	35000	15	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi perawatan dan energi, kebijakan kesiapan mesin-mesin / peralatan pabrik, pengelolaan catalog dan history harga suku cadang dan jasa perawatan pabrik, merencanakan dan mengadakan jasa perawatan perbengkelan dan pabrik, pengembangan dan rekayasa teknik, menjamin ketersediaan supply energi dalam rangka mendukung kelancaran produksi dan pencapaian target produksi	KS	1		2013-08-15 06:27:56	
35	35200	55	Mengorganisasikan dan mengkoordinasikan aktivitas utilisasi bengkel mekanik meliputi : perbaikan peralatan pabrik, pembuatan suku cadang untuk perbaikan, pembuatan suku cadang dan perbaikan yang ditangani pihak luar melalui kontrak jasa serta perawatan lapangan beserta mengelola jasa perawatan lapangan dari pihak luar melalui kontrak berdasarkan permintaan dari unit-unit produksi, untuk menjamin kehandalan dan kelancaran operasi pabrik	KS	1		2013-08-15 06:28:23	
36	35300	56	Mengorganisasikan dan mengkoordinasikan aktivitas rekayasa teknik yang meliputi : mengelola dokumen teknik, gambar/design engineering, estimate engineering, scope of work, TOR dan bestek, analisis engineering, modifikasi engineering baik perawatan dan pembangunan rutin serta inspeksi teknik untuk memastikan dan memutahirkan data engineering guna peningkatan kehandalan peralatan pabrik	KS	1		2013-08-15 06:28:55	
37	35400	57	Mengorganisasikan dan mengkoordinasikan aktivitas peningkatan utilisasi bengkel   listrik, elektronik, instrument, sarana dan prasarana pabrik (general service), dengan cara  mempercepat waktu penyelesaian pekerjaaan dan efektifitas pelaksanaan pekerjaan, pengendalian operasional supply Energi Listrik, Air dan Gas dalam rangka mendukung kelancaran produksi, pengelolaan produksi kapur bakar dan gas industri untuk menunjang kelancaran operasi pabrik	KS	1		2013-08-15 06:29:17	
38	35500	58	Mengorganisasikan dan mengkoordinasikan aktivitas  perencanaan suku cadang rutin dan common, menyusun catalog dan estimasi harga (HPS/OE) Spare Part dan jasa perawatan, perencanaan jasa perawatan pabrik, menyusun dan mengelola katalog suku cadang dan historical harga suku cadang dan jasa perawatan pabrik serta membuat laporan kinerja perawatan & suku cadang perawatan pabrik untuk menunjang kelancaran operasi seluruh pabrik	KS	1		2013-08-15 06:29:47	
39	36000	16	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program perencanaan produksi sesuai delivery order dan optimasi kapasitas produksi, pengendalian tingkat persediaan produk jadi pada level yang optimum,  pengelolaan dan optimasi kebutuhan dan penanganan material produksi (bahan baku dan penunjang utama) untuk menunjang kelancaran dan tercapainya target produksi serta supply chain management	KS	1		2013-08-15 06:30:14	
40	36200	59	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program serta kegiatan improvement Supply Chain; mengintegrasikan operasional proses bisnis meliputi material, informasi, time frame dan menyusun/mengevaluasi FS (Feasibility Study) serta melakukan evaluasi efektivitas investasi terhadap parameter utama pada sektor pemasaran, logistik dan produksi sebagai bahan evaluasi management serta melakukan usaha peningkatan produktivitas, efisiensi, efektivitas dan optimalisasi dalam kegiatan operasional di setiap lini rantai supply dan memastikan pemutakhiran data product groups, Bill of Material (BOM) dan  Routing agar selalu update dan sesuai dengan kondisi actual	KS	1		2013-08-15 06:30:36	
41	36300	60	Mengorganisasikan dan mengkoordinasikan aktivitas perencanaan dan pengendalian Produksi sesuai dengan Delivery Order, utilisasi ready stock ke order serta  penyiapan, prosesing, distribusi & penyimpanan bahan baku dan bahan pembantu utama (Non Spons, Batu Kapur) sesuai dengan kebutuhan produksi pada pabrik besi spons dan baja batangan, pabrik slab baja, pabrik baja lembaran, untuk mencapai target produksi yang ditetapkan dengan pembebanan pabrik secara optimum	KS	1		2013-08-15 06:31:02	
42	40000	4	Memastikan perusahaan memiliki strategi, kebijakan dan manajemen yang handal dan adaptif terhadap tuntutan perkembangan pasar dan konsumen maupun kelancaran operasional bisnis melalui pengelolaan kebijakan strategi pemasaran produk, by product dan jasa non core Krakatau Steel di pasar dalam negeri maupun luar negeri guna mengoptimalkan utilisasi kapasitas produksi dan menghasilkan profit maksimal sesuai policy pemasaran yang ditetapkan perusahaan	KS	1		2013-08-15 06:31:35	
43	42000	17	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program penjualan Flat product dan long product untuk area pasar Domestik dan Ekspor dengan segmen pasar strategic account yang mayoritas kebutuhan konsumennya adalah produk HRC/Plate, dan penjualan produk untuk industri Shipbuilding, Train, serta penjualan untuk Project dan pengembangan pasar domestik wilayah Indonesia Timur melalui kantor cabang Surabaya, wilayah Indonesia Barat melalui perwakilan Batam serta penjualan by product untuk tujuan ekspor guna menjamin tercapainya target penjualan dan peningkatan loyalitas  pelanggan serta  memastikan penjualan produk dan utilisasi fasiltas produksi HRC/P mencapai target yang ditetapkan	KS	1		2013-08-15 06:31:44	
44	42200	61	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk segmen pasar strategic account yang mayoritas kebutuhan konsumennya produk HRC/P (Hot Rolled Coil/ Plate) meliputi : segmen pasar Oil & Gas Pipe (OGP), P&T Commercial, BPV dan Rerolling serta segmen lainnya guna menjamin tercapainya target penjualan dan loyalitas pelanggan yang ditetapkan	KS	1		2013-08-15 06:32:24	
45	42300	62	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk segmen pasar yang mayoritas kebutuhannya HRC/P meliputi General Structure, Ship Building, Train, Coil Center dan Stockist	KS	1		2013-08-15 06:32:45	
46	43000	18	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk tujuan ekspor dan indirect ekspor, penjualan dan pengembangan pasar wilayah Indonesia Timur melalui Kantor Cabang Surabaya dan Indonesia Barat melalui perwakilan Batam, segmen pasar Project Engineering Procurement Construction (EPC) Non Pipe serta penjualan by product untuk tujuan ekspor guna menjamin tercapainya target penjualan dan loyalitas pelanggan yang telah ditetapkan	KS	1		2013-08-15 06:33:23	
47	43200	92	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program penjualan Flat product dan long product untuk area pasar Domestik segmen pasar strategic account yang mayoritas kebutuhan konsumennya adalah produk CRC/S dan long product (Wire Rod dan Billet), semua produk untuk segmen Automotive & Heavy Equipment serta penjualan By Product & Industrial Service domestik guna menjamin tercapainya target penjualan dan peningkatan loyalitas pelanggan serta memastikan penjualan produk dan utilisasi fasiltas produksi CRC/S, Wire Rod dan Billet mencapai target yang ditetapkan	KS	1		2013-08-15 06:33:47	
48	43300	63	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk segmen pasar strategic account yang mayoritas kebutuhan konsumennya produk CRC/S (Cold Rolled Coil/Sheet) yang meliputi segmen pasar GIS (Galvalum & galvanized), HOA, HOE, HOF, Enamel, P&T, Drum & packaging serta coil centre & stockist dan segemn lainnya serta segmen Automotive & Heavy Equipment guna menjamin tercapainya target penjualan dan loyalitas pelanggan yang ditetapkan	KS	1		2013-08-15 06:34:08	
49	44000	19	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan pengembanagan pasar, penyediaan informasi pasar domestik dan global, mengendalikan kebijakan profitabilitas & manajemen produk, pengelolaan sistem informasi pemasaran dan administrasi penjualan serta peningkatan kualitas penanganan dan pengiriman hasil produksi ke pelanggan untuk meningkatkan kepuasan pelanggan dan peningkatan nilai penjualan produk	KS	1	1	2013-08-15 06:34:38	2013-08-15 06:36:50
50	44200	65	Mengorganisasikan dan mengkoordinasikan penyediaan informasi pasar jangka panjang dan jangka pendek melalui penelitian dan penyelidikan pasar global maupun domestik untuk memastikan dan memutahirkan informasi pasar dan customer master data guna menunjang pencapaian target penjualan dan pemasaran yang telah ditetapkan dan menunjang upaya mempertahankan, mengembangkan dan memperluas pangsa pasa	KS	1		2013-08-15 06:37:17	
51	44300	66	Mengorganisasikan dan mengkoordinasikan proses penyusunan rencana pemasaran, analisis profitabilitas dan manajemen produk, analisis pelanggan dan area serta menetapkan space allocation, menyiapkan analisa data serta memastikan dan memutahirkan master data price untuk penetapan harga produk utama dan penetapan harga by product serta jasa non core guna menjamin tercapainya target penjualan dan pemasaran	KS	1		2013-08-15 06:40:45	
52	44400	67	Mengorganisasikan dan mengkoordinasikan kegiatan penyiapan Sistem Informasi Pemasaran yang terintegrasi untuk pemutahiran data bisnis transaksional pemasaran dan mengelola sistem dan data informasi pelanggan serta kegiatan pemrosesan dan pengelolaan transaksi administrasi penjualan produk utama guna menjamin tercapainya target penjualan yang telah ditetapkan	KS	1		2013-08-15 06:41:07	
53	50000	5	Memastikan perusahaan memiliki strategi, kebijakan dan manajemen keuangan yang handal dan adaptif terhadap tuntutan perkembangan maupun kelancaran kegiatan operasional bisnis melalui pengelolaan sistem akuntansi, sistem perbendaharaan dan sistem informasi yang tepat, efektif dan efisien serta memastikan bahwa investasi perusahaan di anak perusahaan dan perusahaan patungan (KS Grup) dapat memberikan deviden yang menguntungkan bagi perusahaan dan pengelolaan Bapelkes PTKS berjalan selaras dengan kepentingan perusahaan dan anggota	KS	1		2013-08-15 06:41:56	
54	50200	93	Merencanakan dan mengendalikan aktivitas fungsi-fungsi dalam unit Investor Realtion untuk memenuhi kewajiban sebagai perusahaan terbuka melalui kegiatan update informasi kinerja perusahaan, peraturan pasar modal dan industri baja serta informasi lain terkait perkembangan saham perusahaan dalam rangka membangun membangun dan menjaga hubungan yang baik antara perusahaan dengan pihak eksternal perusahaan yang mencakup para analis ekuitas saham dan insvestor, baik investor yang telah menjadi pemegang saham maupun calon investor yang berminat pada saham perusahaan sehingga pada akhirnya dapat memberi nilai tambah pada saham perusahaan dan pergadangan saham tetap likuid	KS	1		2013-08-15 06:42:13	
55	52000	20	Merencanakan dan mengendalikan kegiatan catatan akuntansi perusahaan meliputi ; akuntansi keuangan, akuntansi manajemen dan akutansi pabrik sebagai bahan informasi/pendukung dalam pengambilan keputusan bagi manajemen, serta usaha-usaha peningkatkan tingkat pengembalian investasi, mempercepat proses pembayaran klaim dalam rangka meningkatkan kepuasan Pelanggan, meningkatkan kecepatan dan ketepatan  Laporan Keuangan dalam rangka  meningkatkan kualitas pelayanan informasi keuangan	KS	1		2013-08-15 06:42:31	
56	52200	69	Mengorganisasikan dan mengkoordinasikan aktivitas catatan akuntansi keuangan yang berkaitan dengan catatan akuntansi atas hak dan kewajiban perusahaan, mengendalikan dan mengevaluasi proses pengeluaran uang perusahaan serta menjamin ketepatan waktu penerbitan General Ledger untuk penerbitan laporan keuangan perusahaan, laporan keuangan konsolidasi, laporan keuangan konstruksi, mempercepat proses pembayaran klaim	KS	1		2013-08-15 06:42:52	
57	52300	70	Mengorganisasikan dan mengkoordinasikan perencanaan, pengendalian serta peningkatkan efektivitas penyusunan rencana kerja dan anggaran perusahaan baik jangka pendek (RKAP) maupun mendukung proses perencanaan jangka panjang dan menganalisis serta mengevaluasi data-data keuangan, serta memastikan dan memutahirkan data IM Position, GL Account, Cost Centre, Activity Type, Statistical Key Figure, Business process, Cost Element, Standard Hierarchi Cost Centre, Standard hierarchi ABC, Planning, untuk penyusunan dan penerbitan laporan manajemen dalam rangka meningkatkan kualitas pelayanan informasi keuangan dan manajemen	KS	1		2013-08-15 06:43:13	
58	52400	71	Mengkoordinasikan dan mengorganisasikan aktivitas catatan akuntansi yang berkaitan dengan aktivitas pabrik, mengendalikan dan mengevaluasi laporan kegiatan akuntansi pabrik yang (meliputi ; akuntansi biaya produksi dan akuntansi persediaan bahan baku, bahan pembantu, suku cadang dan produk/hasil jadi), verifikasi persediaan dan aktiva tetap, memberikan informasi dan analisis keuangan kepada Manajemen terkait dalam melakukan pengendalian biaya serta memastikan dan memutahirkan master data finished/semi finish products data accounting, posting dan general plant data finished products dan posting dan general plant data	KS	1		2013-08-15 06:43:29	
59	53000	21	Merencanakan dan mengendalikan keuangan perusahaan dalam hal pengendalian realisasi biaya agar tidak melebihi anggaran, strategi dan operasional pendanaan untuk menjaga  working capital dalam level yang tepat dan aman untuk membiayai operasional Perusahaan, menyediakan dana secara tepat untuk  pembiayaan proyek investasi, perpajakan, asuransi dan bea-bea lainnya serta mengatur dan mengontrol pemberian kredit dan penagihan untuk menjamin ketepatan pembayaran secara optimal  serta mengkoordinasikan  pembayaran gaji, biaya SPD  dan pengelolaan biaya kegiatan Direksi/Dekom/karyawan Jakarta	KS	1		2013-08-15 06:43:49	
60	53200	72	Mengendalikan dan mengkoordinasikan kegiatan-kegiatan untuk mendapatkan sumber pembiayaan modal kerja, untuk menjamin dan mengoptimalkan pengelolaan dana dengan tingkat resiko yang dapat diterima	KS	1		2013-08-15 06:44:07	
61	53300	73	Mengorganisasikan, mengkoordinasikan dan mengadministrasikan serta mengendalikan masalah-masalah yang timbul dari transaksi penerimaan dan pengeluaran dana perusahaan meliputi ; transaksi pembukaan dan pembayaran L/C impor, menerbitkan laporan-laporan pokok operasi pendanaan	KS	1		2013-08-15 06:44:21	
62	53400	74	Mengorganisasikan dan mengkoordinasikan kegiatan yang berhubungan dengan kewajiban pajak perusahaan, asuransi perusahaan, bea-bea impor dan faktur tagihan sesuai dengan kebutuhan perusahaan dan peraturan perundangan yang berlaku	KS	1		2013-08-15 06:44:37	
63	53500	75	Mengorganisasikan dan mengkoordinasikan kegiatan pembayaran gaji Direksi/ Dekom/karyawan dan pembayaran biaya rutin untuk keperluan karyawan PT. Krakatau Steel yang berlokasi di Jakarta, serta mengkoordinir piutang macet, melakukan pencatatan dan penyimpanan dokumen asset yang berlokasi di Jakarta	KS	1		2013-08-15 06:46:15	
64	53600	76	Mengorganisasikan dan mengkoordinasikan aktivitas kredit dan penagihan yang meliputi pengendalian pelaksanaan penagihan, pemberian kredit, jaminan dan L/C, analisis kredit  dengan mengevaluasi performansi kredit customer, menentukan Rating Customer dan mereview TOP untuk meningkakan optimalisasi pengendalian jaminan	KS	1		2013-08-15 06:46:33	
