idUnit	idCc	idParent	kodeunit	unitkerja	nik_pejabat
56	0	15	35300	MANAGER DESIGN & TECHNICAL ENGINEERING	6254
57	79	15	35400	MANAGER UTILITIES & ENERGY MANAGEMENT	6725
58	37	15	35500	MANAGER PLANT MAINTENANCE SERVICE	8136
59	73	16	36200	MANAGER  SUPPLY CHAIN & IMPROVEMENT	10089
60	72	16	36300	MANAGER  PRODUCTION PLANNING & CONTROL	6724
61	48	17	42200	MANAGER STRATEGIC ACCT1  P, T & REROLLING	8260A
62	51	17	42300	MANAGER  STRATEGIC ACCT2 GST&SHIP BUILDING	10222A
63	49	18	43300	MANAGER STRATEGIC ACCOUNT 3 CRC&AUTOMOTIV	10708
64	50	18	43301	MANAGER SA 4 LP,BP & IS, REG & PROJECT	8457
65	55	19	44200	MANAGER  MARKET RESEARCH & DEVELOPMENT	5935A
66	52	19	44300	MANAGER  PRODUCT & PROFITABILITY ANALYSIS	10349
67	54	19	44400	MANAGER MARKETING INFO SYSTEM & SALES ADM	10320
68	74	19	44401	MANAGER  FINISHED PRODUCT & DISTRIBUTION	10315
69	23	20	52200	MANAGER  AKUNTANSI KEUANGAN	10335
70	24	20	52300	MANAGER AKUNTANSI MANAJEMEN	8595
71	22	20	52400	MANAGER AKUNTANSI PABRIK	10324
72	28	21	53200	MANAGER  FUNDING STRATEGY	10342
73	25	21	53300	MANAGER  OPERASI PENDANAAN	7845
74	26	21	53400	MANAGER  PAJAK, ASURANSI & FAKTUR	10070
75	29	21	53500	MANAGER  PERWAKILAN KEUANGAN JAKARTA	5271
76	27	21	53600	MANAGER  CREDIT & COLLECTION	6242
77	30	21	53700	GROUP PROJECT FINANCE	10351
78	31	22	54200	MANAGER  MJN BISNIS AP&PP BIDANG JASA	6279
79	32	22	54300	MANAGER  MJN BISNIS AP&PP BIDANG MANUFAKTUR	10334
80	14	6	60200	MANAGER COMMUNITY DEVELOPMENT	8169
81	12	26	63200	MANAGER PERFORMANCE MGT & COMPENSATION	10254
82	10	26	63300	MANAGER  HUMAN CAPITAL INTEGRATION & ADM	7658
83	13	26	63400	MANAGER  GENERAL AFFAIR	8592
84	16	26	63500	MANAGER  SECURITY	93001398
85	7	26	63501	GROUP LEADER CORP. CULTUR	8279
86	63	27	72200	MANAGER  TECHNOLOGY & PROCESS DEVELOPMENT	5457
87	62	27	72300	MANAGER APPLIED RESEARCH	8441
88	60	27	72400	MANAGER  ENERGY & RESOURCES DEVELOPMENT	10231
89	33	28	73200	MANAGER  STRATEGIC PLANNING & INVES PORTFOLIO	10104
90	66	28	73300	MANAGER  PROJECT DEVELOPMENT	6273
91	56	29	74200	MANAGER  BLAST FURNACE PROJECT INTEGRATION	
92	46	18	43200	GENERAL MANAGER  SALES II	8255
93	21	5	50200	INVESTOR RELATION	6927
94	65	23	55300	MANAGER PROCESS AUTOMATION	8154
95	64	23	55400	MANAGER BUS ENABLER & IT/IS	9490
96	9	25	62200	MANAGER ORGANIZATION DESIGN & HCP	5054
97	11	25	62300	MANAGER HUMAN CAPITAL DEV. & LEARING CENTRE	5751
98	15	25	62301	GM. HUMAN CAPITAL PLANNING & DEVELOPMENT	8142
99	11	25	62302	MANAGER HUMAN CAPITAL DEV. & LEARING CENTRE	5751
100	6	7	70200	MANAGER  PROJECT MANAGEMENT	10256
101	56	7	70201	DIREKTUR TEKNOLOGI & PENGEMBANGAN USAHA	
